"","Country","lifeExp","GNI","educationExp","birthRate","mortality","repr.parliament","eduRatio","labourRatio"
"Venezuela (Bolivarian Republic of)","Venezuela (Bolivarian Republic of)",74.2,"16,159",14.2,83.2,110,17,1.11417322834646,0.64520202020202
"Turkey","Turkey",75.3,"18,677",14.5,30.9,20,14.4,0.65,0.415254237288136
"Sri Lanka","Sri Lanka",74.9,"9,779",13.7,16.9,29,5.8,0.951570680628272,0.46002621231979
"Mexico","Mexico",76.8,"16,056",13.1,63.4,49,37.1,0.919141914191419,0.564455569461827
"Brazil","Brazil",74.5,"15,175",15.2,70.8,69,9.6,1.04198473282443,0.735148514851485
"Georgia","Georgia",74.9,"7,164",13.8,46.8,41,11.3,0.967637540453074,0.752330226364847
"Azerbaijan","Azerbaijan",70.8,"16,428",11.9,40,26,15.6,0.962012320328542,0.903735632183908
"Jordan","Jordan",74,"11,365",13.5,26.5,50,11.6,0.885350318471338,0.234234234234234
"The former Yugoslav Republic of Macedonia","The former Yugoslav Republic of Macedonia",75.4,"11,780",13.4,18.3,7,33.3,0.723021582733813,0.638518518518518
"Ukraine","Ukraine",71,"8,178",15.1,25.7,23,11.8,0.956204379562044,0.795216741405082
"Algeria","Algeria",74.8,"13,054",14,10,89,25.7,0.861290322580645,0.210526315789474
"Peru","Peru",74.6,"11,015",13.1,50.7,89,22.3,0.851739788199697,0.808056872037915
"Albania","Albania",77.8,"9,943",11.8,15.3,21,20.7,0.930602957906712,0.685496183206107
"Armenia","Armenia",74.7,"8,124",12.3,27.1,29,10.7,0.989473684210526,0.746556473829201
"Bosnia and Herzegovina","Bosnia and Herzegovina",76.5,"9,638",13.6,15.1,8,19.3,0.643266475644699,0.595113438045375
"Ecuador","Ecuador",75.9,"10,605",14.2,77,87,41.6,1.01776649746193,0.66142684401451
"China","China",75.8,"12,547",13.1,8.6,32,23.6,0.816411682892907,0.816091954022989
"Fiji","Fiji",70,"7,493",15.7,42.8,59,14,0.995348837209302,0.520833333333333
"Mongolia","Mongolia",69.4,"10,729",14.6,18.7,68,14.9,1.01426872770511,0.816738816738817
"Thailand","Thailand",74.4,"13,323",13.5,41,26,6.1,0.875,0.796778190830235
"Libya","Libya",71.6,"14,911",14,2.5,15,16,1.32458233890215,0.392670157068063
"Tunisia","Tunisia",74.8,"10,404",14.6,4.6,46,31.3,0.711496746203904,0.354019746121298
"Colombia","Colombia",74,"12,040",13.5,68.5,83,20.9,1.02338129496403,0.700125470514429
"Jamaica","Jamaica",75.7,"7,415",12.4,70.1,80,16.7,1.05413105413105,0.791255289139633
"Tonga","Tonga",72.8,"5,069",14.7,18.1,120,0,0.990939977349943,0.7171581769437
"Belize","Belize",70,"7,614",13.6,71.4,45,13.3,1.00791556728232,0.597812879708384
"Dominican Republic","Dominican Republic",73.5,"11,883",13.1,99.6,100,19.1,1.04708097928437,0.652671755725191
"Suriname","Suriname",71.1,"15,617",12.7,35.2,130,11.8,0.94692144373673,0.588662790697674
"Maldives","Maldives",76.8,"12,328",13,4.2,31,5.9,0.834862385321101,0.725161290322581
"Samoa","Samoa",73.4,"5,327",12.9,28.3,58,6.1,1.07166666666667,0.402397260273973
"Botswana","Botswana",64.5,"16,646",12.5,44.2,170,9.5,0.944801026957638,0.881127450980392
"Moldova (Republic of)","Moldova (Republic of)",71.6,"5,223",11.9,29.3,21,20.8,0.968944099378882,0.850678733031674
"Egypt","Egypt",71.1,"10,512",13.5,43,45,2.2,0.724422442244224,0.316844919786096
"Gabon","Gabon",64.4,"16,367",12.5,103,240,16.2,1.49307479224377,0.859327217125382
"Indonesia","Indonesia",68.9,"9,788",13,48.3,190,17.1,0.810975609756098,0.610451306413302
"Paraguay","Paraguay",72.9,"7,643",11.9,67,110,16.8,0.855813953488372,0.65683962264151
