"","JHLLT","JLKMOVE","JHSPRBQ","JGHQD","JGHQF","JGHQH","JHSCANB","JHSCNTB","JHSCAND","JHSCNTD","JHSCANF","JGHQC","JVOTE7","JLFSATO"
"433",2,1,2,2,2,2,2,1,2,2,2,2,1,6
"434",2,1,2,2,1,2,2,1,2,2,2,2,3,7
"435",2,1,2,1,2,2,2,1,2,2,2,2,3,6
"436",2,1,2,2,2,2,2,1,2,2,2,2,3,6
"437",2,1,2,2,2,2,2,1,2,2,2,2,3,4
"438",1,1,2,2,2,2,2,1,2,1,2,2,1,4
"439",2,1,2,1,1,1,2,1,2,1,1,2,2,5
"440",2,1,1,2,1,2,2,1,2,2,1,2,2,7
"441",2,2,1,2,3,1,2,1,2,2,1,2,2,5
"442",1,1,2,2,1,2,2,1,2,1,2,2,1,4
"443",2,1,2,2,1,2,2,1,2,1,2,2,1,4
"444",2,1,2,2,1,1,2,1,2,1,2,1,1,5
"445",2,1,2,2,2,2,2,1,2,1,2,2,1,3
"446",2,1,2,2,2,2,2,1,2,1,1,2,2,6
"447",2,1,2,2,3,2,2,1,2,1,2,1,2,4
"448",1,2,2,3,3,3,2,1,2,1,2,3,2,3
"449",2,1,2,2,2,1,2,1,2,1,2,3,1,7
"450",1,2,2,2,1,2,2,1,2,1,2,2,1,4
"451",2,1,2,2,1,1,2,1,2,1,2,1,1,5
"452",2,2,2,2,2,3,2,1,2,1,2,2,2,2
"453",1,1,2,4,4,4,2,1,2,1,2,3,2,1
"454",1,1,2,2,4,4,2,1,2,1,2,2,2,1
"455",1,2,2,2,2,2,2,1,2,1,2,2,2,1
"456",1,1,2,2,2,2,2,1,2,1,2,2,1,5
"457",1,1,2,2,3,3,2,1,2,1,2,3,1,6
"458",2,1,2,2,2,2,2,1,2,1,2,2,1,3
"459",2,1,2,3,1,2,2,1,2,1,1,2,1,7
"460",1,2,1,3,2,2,2,2,2,2,1,3,2,5
"461",1,1,1,2,3,2,2,1,2,1,2,3,1,2
"462",1,2,1,2,3,3,2,1,2,1,1,2,1,3
"463",2,1,2,2,1,2,2,1,2,1,2,2,1,6
"464",2,1,2,1,1,2,2,1,2,1,2,2,3,7
"465",1,1,2,3,2,4,2,1,2,1,2,4,1,4
"466",1,2,2,2,1,2,2,1,2,1,2,2,3,6
"467",1,2,1,2,2,3,2,1,2,1,1,3,1,3
"468",2,1,2,2,1,2,2,1,2,1,2,2,2,3
"469",1,2,2,3,3,3,2,1,2,1,2,2,2,3
"470",1,1,1,2,2,2,2,1,2,1,1,2,2,5
"471",2,1,1,2,1,2,2,1,2,1,1,2,1,7
"472",2,1,2,2,2,2,2,1,2,1,1,2,1,6
"473",2,1,2,2,1,2,2,2,2,2,2,2,2,7
"474",2,2,2,2,2,2,2,1,2,1,2,2,1,5
"475",2,1,2,2,3,3,2,2,2,1,1,2,1,6
"476",1,1,2,3,3,2,2,2,2,1,1,3,1,5
"477",2,2,1,2,2,2,2,1,2,2,1,2,2,5
"478",1,2,2,2,2,3,2,2,2,2,2,2,1,4
"479",2,1,2,2,2,2,2,2,2,2,1,2,1,6
"480",1,1,1,3,3,3,2,1,2,1,2,3,2,5
"481",1,2,1,4,4,4,2,1,2,1,2,4,2,1
"482",2,1,2,4,1,2,2,2,2,2,2,4,1,7
"483",1,1,2,3,2,1,2,2,2,2,1,4,1,4
"484",1,1,2,4,3,4,2,1,2,1,1,4,1,1
"485",1,1,2,2,3,2,2,1,2,1,2,3,1,2
"486",2,2,2,2,2,2,2,2,2,2,2,2,1,4
"487",2,2,2,2,4,3,2,2,2,2,2,3,1,1
"488",2,2,2,2,2,2,2,2,2,2,2,2,1,3
"489",2,2,2,2,3,2,2,2,2,2,2,3,2,4
"490",1,2,2,4,4,3,2,2,2,2,2,4,3,5
"491",2,1,2,2,1,2,2,1,2,1,1,2,1,6
"492",2,1,2,2,2,2,2,1,2,1,1,2,1,7
"493",2,1,1,2,3,2,2,2,2,1,2,2,2,2
"494",1,1,2,2,2,2,2,2,2,2,1,2,1,6
"495",2,1,2,2,2,2,2,2,2,2,1,3,1,4
"496",2,1,1,2,1,2,2,2,2,2,2,2,2,2
"497",1,2,1,3,2,3,2,1,2,1,2,3,2,3
"498",1,2,2,2,2,2,2,2,2,2,2,2,1,5
"499",1,1,2,4,4,4,2,2,2,2,2,4,1,2
"500",2,1,2,2,4,2,2,1,2,1,2,4,1,3
"501",1,1,2,2,1,2,2,1,2,1,2,2,2,4
"502",2,1,2,2,2,2,2,1,2,1,2,2,2,5
"503",1,2,2,2,2,2,2,1,2,1,1,3,1,3
"504",2,1,2,1,2,2,2,1,2,2,1,4,2,4
"505",2,1,2,2,2,2,2,1,2,2,1,2,3,6
"506",2,1,1,2,2,2,2,1,2,1,2,2,1,7
"507",2,1,1,4,4,4,2,1,2,1,2,4,1,1
"508",2,1,2,2,2,2,2,1,2,1,2,1,1,6
"509",2,1,2,3,2,2,2,1,2,1,1,3,2,6
"510",2,1,2,2,2,1,2,1,2,1,2,1,2,2
"511",2,1,2,2,1,2,2,2,2,2,2,2,1,4
"512",2,1,2,2,2,2,2,2,2,2,2,2,2,7
"513",2,2,1,1,2,1,2,2,2,2,2,1,2,3
"514",2,2,1,1,1,1,2,2,2,2,2,1,2,1
"515",2,1,2,2,1,2,2,2,2,2,2,2,1,6
"516",1,2,2,2,4,2,2,2,2,2,2,4,1,1
"517",2,2,2,2,1,2,2,2,2,2,1,2,2,5
"518",2,2,2,2,3,2,2,2,2,2,2,2,1,4
"519",1,1,2,1,2,2,2,1,2,1,2,3,1,4
"520",2,1,2,2,1,2,2,1,2,1,2,1,2,5
"521",2,2,1,2,2,2,2,1,2,1,1,3,1,4
"522",2,2,1,1,1,2,2,1,2,1,1,1,1,5
"523",2,2,2,2,3,3,2,1,2,1,2,4,1,7
"524",1,2,2,2,2,4,2,1,2,1,2,3,1,1
"525",1,1,1,3,2,2,2,2,2,2,2,4,1,4
"526",2,1,1,2,1,2,2,2,2,2,2,2,1,5
"527",2,1,2,2,1,2,2,2,2,2,1,2,1,7
"528",2,2,2,2,1,2,2,2,2,2,2,2,1,6
"529",2,1,2,2,2,2,2,2,2,2,1,2,1,4
"530",2,2,2,2,2,2,2,1,2,1,2,2,2,4
"531",2,1,2,2,2,3,2,1,2,1,2,2,1,3
"532",1,1,1,3,4,1,2,2,2,2,2,3,1,2
"533",1,2,1,4,4,1,2,2,2,2,2,4,2,1
"534",2,1,2,2,2,2,2,2,2,2,1,2,1,7
"535",2,1,2,2,2,2,2,2,2,2,1,2,1,7
"536",2,1,2,2,2,2,2,2,2,2,1,2,1,6
"537",1,2,2,2,2,2,2,2,2,2,2,2,2,5
"538",2,2,2,1,2,2,2,1,2,1,1,1,1,4
"539",2,2,2,2,1,2,2,1,2,1,1,2,2,5
"540",2,1,2,2,1,2,2,1,2,2,2,1,1,6
"541",2,2,2,2,1,2,2,1,2,2,2,1,3,4
"542",2,2,2,2,1,2,2,1,2,2,2,2,2,2
"543",1,1,2,2,2,2,2,1,2,2,2,2,1,4
"544",2,1,2,2,1,2,2,1,2,1,2,2,1,5
"545",1,1,1,2,1,2,2,1,2,1,2,2,2,7
"546",2,2,2,2,2,2,2,1,2,2,2,2,2,2
"547",1,2,1,2,4,4,2,1,2,1,2,3,2,1
"548",1,2,2,2,2,2,2,1,2,1,2,1,2,5
"549",2,2,2,2,1,2,2,2,2,2,2,2,1,4
"550",2,1,1,2,2,3,2,1,2,1,2,2,2,4
"551",2,1,1,2,3,3,2,1,2,1,2,2,2,3
"552",2,1,2,2,2,2,2,2,2,2,1,2,1,7
"553",1,1,2,3,1,4,2,1,2,1,2,4,1,3
"554",1,1,2,2,3,3,2,1,2,2,2,3,1,4
"555",1,2,2,2,3,2,2,1,2,1,1,2,1,1
"556",1,1,2,2,1,3,2,1,2,1,2,4,1,3
"557",2,1,1,2,2,2,2,1,2,1,2,2,1,5
"558",1,2,1,2,2,2,2,1,2,1,2,2,1,5
"559",2,1,2,2,1,2,2,2,2,2,1,2,1,7
"560",1,1,2,4,1,3,2,1,2,2,2,3,1,6
"561",2,1,2,2,2,2,2,1,2,1,2,2,1,4
"562",2,1,2,2,2,2,2,1,2,1,2,2,2,5
"563",2,1,2,1,3,2,2,1,2,2,1,2,1,5
"564",2,1,2,2,2,2,2,1,2,2,1,2,1,6
"565",2,1,2,1,1,1,2,1,2,2,1,1,1,5
"566",2,1,2,2,2,2,2,1,2,1,2,2,2,3
"567",2,1,2,3,3,3,2,1,2,1,2,3,2,5
"568",1,1,2,2,2,2,2,2,2,2,1,3,1,4
"569",2,2,2,2,1,2,2,1,2,1,1,2,1,7
"570",1,1,2,2,2,2,2,1,2,1,1,3,2,7
"571",2,1,2,1,2,1,2,1,2,1,1,1,3,4
"572",2,1,2,2,1,2,2,2,2,1,2,2,2,6
"573",1,1,2,2,2,2,2,2,2,2,2,2,1,6
"574",2,2,2,2,2,2,2,1,2,2,1,2,1,4
"575",2,1,2,2,2,2,2,1,2,2,1,2,1,5
"576",1,2,2,2,2,2,2,1,2,1,1,3,1,3
"577",1,1,2,3,3,3,2,1,2,1,1,4,1,5
"578",1,2,2,2,2,2,2,1,2,1,1,1,1,7
"579",2,1,2,2,1,2,2,1,2,1,2,2,1,7
"580",1,1,2,3,2,2,2,2,2,1,1,2,1,6
"581",1,1,2,2,3,2,2,2,2,1,1,2,1,3
"582",2,1,1,2,2,2,2,2,2,2,2,2,1,6
"583",1,1,1,2,2,2,2,2,2,2,2,2,1,2
"584",2,1,2,2,2,2,2,2,2,2,1,2,1,7
"585",1,1,2,2,3,2,2,1,2,1,2,3,1,5
"586",2,1,2,2,2,2,2,1,2,1,1,2,2,5
"587",1,2,1,2,2,2,2,1,2,1,2,3,1,3
"588",2,2,1,2,2,2,2,1,2,1,2,2,2,6
"589",2,1,1,2,1,2,2,1,2,1,2,3,1,5
"590",1,2,2,2,1,2,2,2,2,2,2,2,2,2
"591",2,2,1,2,2,2,2,1,2,1,1,2,2,5
"592",1,2,1,2,2,2,2,1,2,1,1,2,1,5
"593",1,1,2,2,2,2,2,2,2,2,2,2,2,4
"594",2,2,2,1,1,1,2,1,2,1,2,2,1,5
"595",2,2,2,2,1,2,2,1,2,1,2,2,3,6
"596",2,1,2,2,1,2,2,1,2,1,1,2,2,6
"597",2,2,1,1,2,1,2,1,2,1,1,2,1,3
"598",2,2,2,3,2,2,2,1,2,1,2,2,1,3
"599",2,1,2,2,2,2,2,1,2,1,2,2,3,6
"600",2,2,1,3,1,2,2,1,2,1,2,1,1,5
"601",1,1,2,2,2,2,2,1,2,1,1,4,1,3
"602",2,1,2,2,1,2,2,1,2,1,2,2,1,7
"603",1,2,2,3,3,2,2,1,2,2,2,4,1,4
"604",2,2,2,2,2,2,2,1,2,2,2,1,1,5
"605",1,2,2,1,4,1,2,1,2,1,2,2,1,1
"606",1,2,1,4,4,4,2,1,2,1,2,4,1,1
"607",2,1,1,2,2,2,2,1,2,1,2,2,3,4
"608",2,2,2,2,3,2,2,1,2,1,1,2,1,4
"609",1,1,2,1,1,1,2,1,2,2,2,2,1,4
"610",1,2,2,2,1,2,2,1,2,1,1,2,1,6
"611",1,1,2,2,2,2,2,1,2,1,1,3,1,4
"612",2,2,1,3,1,3,2,1,2,1,1,3,2,3
"613",1,1,2,2,2,2,2,1,2,1,1,2,1,4
"614",2,1,2,2,1,2,2,2,2,2,2,2,1,5
"615",1,1,2,4,3,3,2,1,2,2,2,3,1,3
"616",2,1,2,2,2,2,2,1,2,1,1,2,1,5
"617",1,1,2,2,4,3,2,1,2,1,2,3,1,6
"618",2,1,2,2,1,2,2,1,2,1,1,3,1,4
"619",2,1,2,2,2,2,2,1,2,1,2,2,1,1
"620",2,1,2,2,1,2,2,1,2,2,2,2,1,6
"621",2,1,2,2,2,2,2,1,2,2,2,1,2,7
"622",1,1,2,3,3,4,2,1,2,2,1,2,1,6
"623",1,1,1,2,2,3,2,1,2,2,2,2,1,3
"624",1,1,2,2,1,2,2,2,2,2,2,2,1,7
"625",2,2,1,1,1,1,2,1,2,2,1,1,1,5
"626",2,1,2,2,2,2,2,2,2,2,1,2,2,3
"627",1,2,2,2,1,2,2,1,2,1,2,2,1,3
"628",2,2,2,2,1,1,2,2,2,2,1,2,1,5
"629",2,1,1,2,3,2,2,2,2,2,2,2,3,5
"630",2,2,1,2,1,2,2,2,2,2,2,2,3,5
"631",1,2,2,2,1,2,2,1,2,1,2,3,1,5
"632",2,1,2,2,2,2,2,1,2,1,1,2,1,5
"633",2,1,2,3,1,2,2,2,2,2,1,2,1,4
"634",2,1,2,2,2,2,2,2,2,2,2,2,1,4
"635",2,1,2,2,2,2,2,2,2,2,2,3,3,5
"636",1,1,2,4,4,4,2,1,2,2,2,4,1,3
"637",2,2,2,2,3,3,2,1,2,2,2,1,1,5
