"","JHLLT","JLKMOVE","JHSPRBQ","JGHQD","JGHQF","JGHQH","JHSCANB","JHSCNTB","JHSCAND","JHSCNTD","JHSCANF","JGHQC","JVOTE7","JLFSATO"
"100",2,2,2,2,2,2,2,1,2,1,2,2,3,6
"101",2,1,2,1,2,1,2,1,2,1,2,1,3,7
"102",1,1,2,2,2,2,2,1,2,1,2,2,1,5
"103",2,1,2,2,2,2,2,1,2,1,2,2,1,6
"104",2,1,2,2,1,2,2,1,2,1,2,2,1,6
"105",2,2,2,2,2,2,2,1,2,1,2,2,1,3
"106",2,2,2,2,2,2,2,1,2,1,2,2,3,6
"107",2,1,2,1,3,3,2,1,2,1,2,3,1,5
"108",2,1,2,2,3,3,2,1,2,1,2,2,1,2
"109",1,1,2,3,4,3,2,1,2,1,2,4,1,1
"110",1,1,2,2,1,2,2,1,2,1,2,2,2,7
"111",2,1,1,1,1,2,2,1,2,2,2,2,1,5
"112",2,2,2,2,2,2,2,1,2,1,2,2,2,6
"113",2,1,2,2,2,2,2,1,2,1,2,2,1,4
"114",1,1,2,3,3,3,2,1,2,1,2,2,1,1
"115",2,2,2,1,1,1,2,1,2,2,2,2,1,3
"116",2,1,1,2,2,2,2,2,2,2,2,2,1,4
"117",1,1,1,2,2,2,2,2,2,2,2,2,2,3
"118",1,2,2,2,2,2,2,1,2,1,2,2,1,4
"119",2,2,1,2,2,3,2,1,2,1,1,3,3,3
"120",2,2,1,2,1,2,2,1,2,1,1,2,2,7
"121",1,2,2,4,3,4,2,1,2,2,2,3,1,2
"122",1,1,2,2,4,3,2,1,2,2,2,2,1,3
"123",1,1,2,1,2,1,2,1,2,2,2,2,3,7
"124",1,1,1,2,3,2,2,1,2,2,1,3,1,4
"125",2,1,2,2,1,2,2,1,2,1,1,1,1,6
"126",2,2,2,2,2,2,2,1,2,1,2,2,1,7
"127",2,2,1,2,3,2,2,1,2,1,2,2,1,5
"128",1,2,1,2,2,2,2,1,2,1,2,2,1,4
"129",2,2,1,1,2,3,2,1,2,1,2,2,2,4
"130",2,1,1,2,1,2,2,1,2,2,1,3,1,6
"131",1,2,1,3,3,3,2,2,2,2,1,3,1,3
"132",1,2,2,2,3,2,2,1,2,1,2,2,1,5
"133",2,1,2,2,2,2,2,1,2,1,2,2,1,4
"134",2,1,2,2,2,3,2,1,2,1,2,2,1,5
"135",1,1,1,2,1,2,2,1,2,1,1,2,1,7
"136",2,1,1,3,3,3,2,1,2,1,1,3,1,3
"137",1,2,1,2,2,2,2,1,2,2,1,2,1,5
"138",2,2,1,1,2,1,2,1,2,2,1,2,3,4
"139",1,2,1,4,4,4,2,1,2,2,1,4,1,1
"140",1,2,1,2,3,2,2,1,2,1,1,3,2,2
"141",2,2,1,3,2,2,2,1,2,1,2,2,1,4
"142",1,1,1,2,2,2,2,1,2,1,2,1,1,6
"143",1,1,2,2,2,2,2,2,2,1,2,2,1,7
"144",2,1,2,2,2,2,2,2,2,2,2,2,1,7
"145",1,1,2,3,3,3,2,2,2,2,2,3,1,1
"146",2,1,2,3,3,3,2,1,2,1,1,3,2,5
"147",1,2,2,3,3,3,2,1,2,1,1,3,1,3
"148",2,1,2,2,1,2,2,1,2,1,1,2,1,6
"149",2,1,2,2,1,2,2,1,2,1,1,2,2,5
"150",2,2,1,2,2,2,2,1,2,1,2,2,1,4
"151",1,1,2,4,4,4,2,2,2,2,2,3,1,3
"152",1,1,2,3,4,1,2,2,2,2,2,4,2,5
"153",1,2,2,3,2,3,2,1,2,1,2,4,1,1
"154",1,2,2,3,3,3,2,1,2,1,2,3,2,3
"155",2,2,1,2,1,2,2,1,2,1,1,1,1,3
"156",2,2,2,3,3,2,2,1,2,2,1,2,1,6
"157",2,1,2,1,1,1,2,1,2,2,1,1,2,5
"158",2,2,1,2,3,2,2,1,2,1,1,2,1,5
"159",2,2,2,2,2,2,2,1,2,1,2,2,2,4
"160",2,1,2,2,2,2,2,2,2,2,2,1,2,5
"161",2,1,2,2,2,2,2,2,2,2,2,2,2,5
"162",1,2,1,2,2,2,2,1,2,1,2,2,2,3
"163",2,2,1,2,2,2,2,1,2,1,2,2,1,3
"164",2,1,2,2,2,2,2,2,2,2,1,2,1,6
"165",1,1,1,2,3,3,2,1,2,2,1,3,1,3
"166",2,1,1,2,1,2,2,1,2,2,1,2,3,5
"167",2,1,1,1,2,1,2,1,2,2,1,1,2,5
"168",2,1,2,3,2,2,2,1,2,2,2,2,2,4
"169",2,1,2,2,1,2,2,1,2,2,2,2,1,6
"170",1,1,2,2,2,2,2,1,2,1,1,2,1,5
"171",2,1,2,2,2,2,2,1,2,1,1,1,1,5
"172",1,1,2,2,2,2,2,1,2,1,2,2,1,1
"173",2,1,2,2,1,2,2,1,2,2,1,2,2,7
"174",2,2,2,2,1,2,2,1,2,2,1,1,1,5
"175",1,1,2,2,3,3,2,2,2,1,1,2,1,4
"176",2,2,1,2,2,2,2,1,2,1,2,2,1,1
"177",1,2,1,1,2,1,2,1,2,1,2,1,1,3
"178",2,1,2,2,1,2,2,2,2,2,1,2,1,6
"179",1,1,2,2,3,3,2,1,2,1,1,3,1,2
"180",2,2,2,2,2,2,2,1,2,1,1,2,2,4
"181",2,1,1,2,4,1,2,1,2,1,2,2,1,5
"182",1,1,2,3,3,3,2,1,2,1,2,3,1,2
"183",1,1,2,2,3,3,2,1,2,1,2,3,1,4
"184",1,1,2,3,1,3,2,2,2,2,2,4,1,4
"185",1,1,2,3,4,2,2,1,2,1,2,2,2,2
"186",2,2,2,3,2,3,2,1,2,2,1,2,2,4
"187",2,2,2,2,1,2,2,1,2,2,1,2,2,4
"188",1,2,2,3,2,2,2,1,2,2,1,3,1,1
"189",1,2,2,2,2,2,2,1,2,2,1,2,1,4
"190",2,1,2,1,1,1,2,1,2,2,1,2,3,6
"191",2,1,2,2,2,2,2,1,2,1,1,2,1,6
"192",2,1,2,3,3,3,2,1,2,1,1,3,3,3
"193",2,2,2,2,1,2,2,1,2,1,1,2,1,6
"194",2,1,2,2,1,2,2,1,2,1,1,2,3,6
"195",2,2,1,2,3,3,2,1,2,2,2,2,1,4
"196",1,2,1,4,3,2,2,1,2,2,2,3,1,1
"197",1,1,1,2,1,2,2,1,2,2,2,2,2,3
"198",1,1,2,2,2,2,2,2,2,2,2,4,1,4
"199",2,2,2,1,2,1,2,2,2,2,2,2,1,4
"200",2,1,2,2,2,2,2,2,2,2,1,2,1,7
"201",2,2,2,3,2,2,2,2,2,1,1,2,1,5
"202",1,2,2,1,1,2,2,2,2,1,1,1,1,4
"203",2,1,2,2,2,3,2,1,2,1,2,2,2,4
"204",2,1,2,2,2,2,2,1,2,1,2,1,1,4
"205",2,1,2,2,2,2,2,1,2,2,2,2,1,7
"206",2,1,2,2,1,2,2,2,2,2,1,2,2,7
"207",2,1,2,2,1,2,2,2,2,2,1,2,2,7
"208",2,1,2,2,2,2,2,1,2,1,1,3,1,5
"209",2,1,2,2,2,2,2,1,2,2,2,2,1,4
